,"BatchID","Glucose concentration","Pyruvate concentration","Acetald concentration","Acetate concentration","Ethanol concentration","Active cell material","Acetaldehyde dehydrogenase","Specific oxygen uptake rate","Specific carbon dioxide evolution rate","Biomass"
"1#57",1,7.743257,0.03687926,1.537257,0.09002196,8.386374,0.551072,0.004430704,8.860435,35.55339,3.747732
"1#58",1,5.447471,0.03701492,1.673003,0.09721843,9.314969,0.5467876,0.003652153,9.601507,36.06791,4.111459
"1#59",1,2.037733,0.03545329,1.758708,0.1050693,9.9854,0.5463764,0.004113861,10.44564,36.17534,4.622806
"1#60",1,2.143615,0.03357579,1.782515,0.1084167,10.3358,0.5446459,0.004173838,10.43682,35.95025,4.701346
"1#61",1,0.4372576,0.03226017,1.788584,0.112324,10.78316,0.545155,0.00501779,10.47317,34.62801,4.921045
"1#62",1,0.5328019,0.03139481,1.812659,0.1131467,10.96515,0.5444788,0.004737868,10.06807,34.1506,4.9422
"1#63",1,0.2225716,0.02963328,1.823581,0.1126971,10.78776,0.5421261,0.004851195,9.904381,33.72237,4.858689
"1#64",1,0.1994586,0.02820011,1.820931,0.1139264,10.99273,0.5469841,0.005314088,9.401481,31.68819,5.026151
"1#65",1,0.4745086,0.02793581,1.749368,0.1150013,10.90971,0.5462492,0.00480047,8.93883,30.93613,4.961323
"1#66",1,0.2328516,0.02714692,1.80055,0.1134556,10.79302,0.5428675,0.004189842,7.804652,29.57204,4.963399
"1#67",1,-0.2394751,0.02458594,1.73616,0.1145316,10.90953,0.5427908,0.004579008,7.201915,28.42646,4.974135
"1#68",1,-0.3188446,0.02445683,1.782195,0.115522,10.93906,0.5459195,0.005108064,6.44978,27.38348,4.898194
"1#69",1,-0.4826103,0.02413923,1.813325,0.1141712,11.10577,0.5434821,0.004512363,5.928214,26.9787,4.971785
"1#70",1,-0.3710971,0.02313671,1.702419,0.1158334,10.95938,0.5410892,0.005426442,5.292516,26.09588,5.100722
"1#71",1,-0.4916437,0.02162285,1.773004,0.1137002,10.95905,0.5465328,0.004674269,4.813599,25.11805,4.905505
"1#72",1,0.3858827,0.02102312,1.793752,0.1097595,11.07225,0.5415227,0.004786438,4.205913,25.62648,5.074183
"1#73",1,-0.2331889,0.01961649,1.76533,0.1127981,10.94455,0.5452482,0.004109495,4.334032,24.87649,5.012942
"1#74",1,0.2383841,0.01702486,1.768812,0.1119259,11.08448,0.5422117,0.005018269,4.918769,22.94086,4.982473
"1#75",1,-0.100844,0.01524207,1.750703,0.1104087,10.90498,0.5458768,0.004042998,4.775187,21.85717,4.90246
"1#76",1,-0.1225147,0.01440763,1.764982,0.1093739,10.90186,0.540866,0.003505685,4.876802,20.43877,4.95299
"1#77",1,0.04334798,0.01341169,1.808671,0.1095627,11.21285,0.5476645,0.005037709,4.851975,20.08452,4.938255
"1#78",1,0.2657854,0.01231538,1.728701,0.1090695,11.45352,0.5445421,0.005095574,4.610472,19.72967,4.869637
"1#79",1,0.1059958,0.01093486,1.742059,0.1061168,10.91965,0.5458544,0.005803457,4.891705,19.15508,4.954271
"1#80",1,-0.4805618,0.009881811,1.750765,0.1049916,10.9661,0.5444838,0.005032409,4.688181,18.92626,4.886598
"1#81",1,0.07026871,0.008945221,1.736891,0.1057714,11.09289,0.546106,0.005105168,4.82011,17.8236,5.030659
"1#82",1,0.6197088,0.007892281,1.743698,0.1025038,10.91622,0.5388697,0.004751256,4.679874,18.56225,5.009619
"1#83",1,0.5190611,0.006308852,1.716145,0.1031505,11.0804,0.5422398,0.00449443,4.704046,17.5513,5.035578
"1#84",1,0.01020816,0.006296279,1.739929,0.09974531,10.93523,0.5441871,0.005659074,4.722158,17.5648,5.053003
"1#85",1,0.5422065,0.004300704,1.751473,0.09845182,11.17321,0.5466537,0.00520329,4.587713,17.02087,5.084935
"1#86",1,0.1514069,0.002083142,1.727179,0.09500832,11.09691,0.5485612,0.004425964,4.457834,17.4811,4.985363
"1#87",1,0.8297555,0.001419217,1.73114,0.09524462,10.90173,0.5442681,0.004821247,4.296327,17.84542,5.025912
"1#88",1,0.1692818,0.0006665124,1.699701,0.09457006,11.32743,0.5495967,0.005339943,4.064264,17.17093,4.894747
"1#89",1,-0.03419791,0.000927581,1.728277,0.09338668,11.12691,0.5462536,0.005037012,4.125878,16.58113,5.050161
"1#90",1,-0.2597559,0.0007172829,1.698011,0.09421156,10.82037,0.5465512,0.004549893,3.639796,16.77592,4.906785
"1#91",1,-0.52099,-0.0002882242,1.718956,0.09343515,11.10234,0.5383787,0.004792391,3.219182,16.38301,5.00706
"1#92",1,0.5242406,-8.089234E-05,1.756295,0.09251294,11.15076,0.5446625,0.005282317,1.490957,14.06719,5.065364
"1#93",1,0.1615046,-0.0006085925,1.722922,0.09150013,11.26544,0.5422872,0.005607748,-2.029688,8.810748,4.979282
"1#94",1,-0.4680761,-0.0004257389,1.728398,0.09343243,11.24065,0.5446286,0.004916504,-3.467629,8.184718,4.982142
"1#95",1,0.3215083,-0.0009303199,1.686857,0.09323927,11.08825,0.5466755,0.005471973,-3.352235,8.429488,4.927855
"1#96",1,0.1482156,0.0002611502,1.678063,0.09247042,11.08549,0.5424605,0.005139258,-3.649415,7.607888,5.016728
"1#97",1,0.2380151,0.000208431,1.734615,0.09107608,11.03098,0.5400549,0.004212973,-3.336108,7.880082,5.009955
"1#98",1,-0.3833577,-0.0005349164,1.706628,0.0895985,11.08352,0.5460433,0.004087095,-3.438387,7.852494,5.03429
"1#99",1,-1.077498,0.0003838787,1.720408,0.08895645,11.15044,0.5494161,0.005718305,-3.41172,8.638552,5.01349
"1#100",1,-0.02444512,-0.0001626752,1.6745,0.08068424,11.17642,0.5438573,0.005611205,-3.657264,6.423061,4.906884
"1#101",1,-0.3702241,8.418663E-05,1.628927,0.06972114,11.22184,0.5443653,0.005037829,-4.157996,7.713246,5.044743
"1#102",1,-0.1241641,-9.179953E-05,1.638983,0.06472955,11.19282,0.5453601,0.005757829,-4.662485,6.70102,4.809694
"1#103",1,0.2564767,0.0002732089,1.548083,0.0581753,11.40418,0.5465209,0.005118099,-4.91035,7.135808,4.979547
"1#104",1,0.2869327,-9.348327E-05,1.49366,0.03799235,11.37493,0.5446851,0.004995809,-5.920394,4.717564,5.014337
"1#105",1,-0.1733494,-0.0001474247,1.397093,0.02712171,11.42665,0.5436214,0.00668433,-6.955979,3.734821,5.052272
"1#106",1,-0.6657967,2.539137E-05,1.322961,0.01788669,11.50845,0.5428321,0.006243018,-7.693828,1.922714,4.938691
"1#107",1,-0.3618783,0.0006483606,1.333533,0.01336595,11.61524,0.546434,0.007188832,-8.198347,1.610938,4.982387
"1#108",1,0.1252099,0.0001055221,1.221699,0.008606764,11.74463,0.5442246,0.006553679,-8.147328,1.388765,5.046977
"1#109",1,-0.2577285,7.927778E-05,1.227265,0.005821946,11.48625,0.5454878,0.006893403,-8.275328,0.4383513,4.957762
"1#110",1,0.8012465,5.907315E-05,1.180291,0.005266989,11.67457,0.5420482,0.007781995,-8.170498,1.289366,5.007763
"1#111",1,0.03943428,0.0005853893,1.058572,0.00544739,11.62696,0.5459499,0.006970916,-7.968887,1.441997,5.081411
"1#112",1,0.3963985,0.0003352177,0.9669495,0.00526375,11.90424,0.5432551,0.007944825,-7.590092,-0.0002682972,5.07174
"1#113",1,-0.2384481,-0.000344716,0.9363897,0.004555066,12.07666,0.5401946,0.008353447,-7.404609,-0.263252,4.985241
"1#114",1,-0.6928729,0.0007445648,0.8748565,0.005599956,11.89689,0.545016,0.008879409,-6.81008,0.4887157,5.042
"1#115",1,-0.03599142,-0.000774037,0.792499,0.004558286,11.95293,0.5433481,0.009235112,-6.630712,0.3707802,5.008337
"1#116",1,0.4677098,-0.0005488873,0.6907191,0.002627572,12.14389,0.5412657,0.01003858,-5.64043,0.6399919,4.993505
"1#117",1,-0.02570144,-0.0008973057,0.6319959,0.00577417,12.08147,0.5408053,0.01089611,-5.143284,0.4245124,5.046733
"1#118",1,0.07107977,0.0001157521,0.5335826,0.003603428,12.44716,0.5406844,0.01021422,-4.131605,1.078911,5.008465
"1#119",1,-0.03598033,0.0009106967,0.5294821,0.005163146,12.23162,0.5412744,0.01060698,-4.216314,1.345274,4.99994
"1#120",1,-0.3489121,0.0003073299,0.5201238,0.006094065,12.28239,0.5399155,0.01036733,-4.056678,0.3892637,4.980735
"1#121",1,0.5131198,0.0001375657,0.5463825,0.004667396,12.10061,0.5410278,0.01027759,-4.116848,0.9068395,5.022576
"1#122",1,0.02971393,0.0009704786,0.4882914,0.003989227,12.2923,0.5400726,0.01111916,-3.931172,0.9372787,4.952178
"1#123",1,-0.0315912,-0.0009382594,0.5031016,0.004588872,12.22338,0.5422264,0.01077888,-4.065073,0.8861739,4.872123
"1#124",1,-0.4073829,0.001483381,0.4918399,0.004489516,12.42322,0.539946,0.01115056,-3.93752,1.214119,5.004947
"1#125",1,0.00598964,0.0002014399,0.5429396,0.003356526,12.53211,0.5406464,0.01183809,-3.488435,0.2888092,5.043321
"1#126",1,0.1261546,0.0004428228,0.5125371,0.005929558,12.43846,0.5409673,0.01203321,-3.86367,0.7800017,4.963904
"1#127",1,0.1495116,-0.000743987,0.4920276,0.004269978,12.27236,0.5448847,0.01095626,-3.534068,0.9335102,5.021551
"1#128",1,-0.4329205,5.722385E-05,0.4431814,0.007179015,12.5403,0.5419759,0.01186807,-2.435118,0.6423254,4.949659
"1#129",1,0.2073109,-0.0003999614,0.3115141,0.005657542,12.41289,0.541373,0.01269956,-1.546264,0.1404692,4.995881
"1#130",1,-0.04014665,-5.811897E-05,0.2673906,0.006186384,12.53114,0.5437626,0.01362052,-0.6703322,1.224913,4.973873
"1#131",1,-0.4573742,0.0003415803,0.236008,0.006215096,12.55517,0.539189,0.01484593,0.2630661,1.458233,5.015262
"1#132",1,0.1407182,0.0003751872,0.2082171,0.006647758,12.56606,0.5355459,0.01544558,0.9759737,1.283683,5.038071
"1#133",1,-0.2515093,0.001095789,0.1590937,0.007862166,12.69176,0.5415508,0.01695507,1.594541,1.223046,5.135978
"1#134",1,-0.4459212,-0.001324245,0.1607627,0.007298885,12.68316,0.5389652,0.01891532,2.18145,1.455061,5.009099
"1#135",1,0.005830133,-0.0002995736,0.1551559,0.009740488,12.5701,0.530412,0.01999748,2.562147,1.291473,5.084809
"1#136",1,0.001690872,0.000421293,0.1798985,0.01048049,12.40534,0.5312198,0.02172942,2.870056,1.421109,5.041375
"1#137",1,0.1226702,-0.0006165245,0.137913,0.01279377,12.61998,0.5317775,0.02396039,2.894714,1.264353,5.044846
"1#138",1,-0.09189545,0.0002387793,0.1194207,0.01098435,12.65642,0.5268709,0.02519587,3.249821,2.175318,5.223988
"1#139",1,0.4794068,-0.0001214739,0.1250059,0.01380059,12.5734,0.5281632,0.02817764,3.667469,1.603225,5.09661
"1#140",1,0.08530389,-0.0004839595,0.099634,0.01870198,12.59466,0.528955,0.02902794,3.786801,1.828889,5.071579
"1#141",1,0.1788207,0.0006033641,0.1430004,0.01512209,12.15168,0.5218661,0.0307721,3.934756,2.650597,5.12016
"1#142",1,-0.1662174,0.00035556,0.07441062,0.02087552,12.36845,0.527137,0.03766797,4.847452,3.018303,5.233412
"1#143",1,-0.3074842,-0.001046025,0.07138011,0.02558803,12.04621,0.5225475,0.04475801,5.572777,2.943976,5.252945
"1#144",1,0.621977,0.0008390666,0.07345423,0.02779114,11.76169,0.5221459,0.05078101,6.707986,3.738573,5.33541
"1#145",1,-0.3344531,0.0005634794,0.06076585,0.03425217,11.56353,0.5268939,0.05524477,7.355258,4.023049,5.476111
"1#146",1,-0.2560673,0.0004053922,0.05550187,0.04232896,11.07101,0.5263878,0.06556065,8.609755,4.686984,5.541577
"1#147",1,0.7408847,-0.0006105535,0.05996805,0.05056494,10.30526,0.53229,0.07348556,10.03112,5.760541,5.889263
"1#148",1,-0.06273507,0.0001307544,0.07144941,0.05999029,9.210508,0.5395566,0.08124647,10.93978,5.929602,6.158878
"1#149",1,0.03541964,-0.0006207771,-0.01171457,0.06901573,8.315372,0.5525389,0.08648311,12.02614,6.872033,6.489722
"1#150",1,0.2659524,0.0003001865,0.02593794,0.07365819,7.269959,0.5706403,0.09064167,13.03721,7.079543,6.899117
"1#151",1,-0.1633741,0.0004138318,0.008271205,0.07686917,6.035486,0.5816955,0.09461496,13.72476,7.781381,7.413678
"1#152",1,0.7507529,-0.0003079653,0.004618316,0.07954694,4.295271,0.5984246,0.09617171,13.87855,7.789601,7.958892
"1#153",1,-0.1032691,0.000117279,-0.01066834,0.07811055,3.813631,0.6100132,0.09547939,14.21403,8.109933,8.039508
"1#154",1,0.1608645,0.000405175,0.0185021,0.07697573,3.549495,0.6088226,0.09576889,14.15509,7.549033,8.082049
"1#155",1,0.01064758,-0.0002433357,-0.00113429,0.07438079,2.84702,0.6168914,0.09434656,14.13927,8.186693,8.457838
"1#156",1,0.4557675,-0.0002666013,0.01622915,0.07308878,2.428601,0.6218016,0.09384745,14.12687,7.913752,8.492642
"1#157",1,-0.006668872,-0.0002523416,0.02531556,0.06997384,1.994315,0.6287277,0.09284747,13.60612,8.678182,8.711355
"1#158",1,0.258848,-0.0003361933,-0.004848319,0.06762248,1.885376,0.6285,0.09258555,13.42363,7.052993,8.812336
"1#159",1,0.5178451,0.0003863628,0.03670006,0.06295995,1.588333,0.6337136,0.09260584,13.27318,7.657169,8.862019
"1#160",1,0.208372,0.0003786517,-0.00024926,0.06157829,1.240286,0.6365153,0.09209268,12.92961,7.100308,8.944751
"1#161",1,-0.3176575,0.0002303846,0.02937297,0.05887077,1.152333,0.6363123,0.09191035,12.39586,7.847111,9.022647
"1#162",1,0.8544298,-0.0009255143,-0.01835074,0.05354455,1.151818,0.6405389,0.09139371,11.86372,7.031614,9.129193
"1#163",1,-0.01246307,0.0005603636,0.01955061,0.04056979,0.4857069,0.6458464,0.08965815,9.282119,5.489395,9.230332
"1#164",1,-0.1613724,0.0008021222,0.03045382,0.03106617,0.2630768,0.6471673,0.08942288,8.367613,4.793843,9.266939
"1#165",1,-0.3394449,0.0005424077,-0.05535697,0.02623049,0.2936085,0.6514059,0.08848991,7.26807,4.594959,9.303798
"1#166",1,-0.2879393,-0.001000384,-0.009782075,0.02357083,0.2272498,0.6505454,0.08961363,7.294279,4.200334,9.369319
"1#167",1,0.5292636,-0.0002297951,-0.04167576,0.0271626,0.2027113,0.6454138,0.08878941,6.770925,3.436433,9.189864
"1#168",1,-0.3337748,7.93806E-05,-0.009004695,0.02468608,0.4159367,0.6521409,0.08887391,7.048477,3.595697,9.286694
"1#169",1,0.08295576,9.070955E-05,-0.01117202,0.02461946,0.2645802,0.6452144,0.08870416,6.833584,3.852,9.353708
"1#170",1,0.4705338,0.000529538,0.02165986,0.02338265,0.1430814,0.6485034,0.08844543,6.521433,4.109308,9.339725
"1#171",1,-0.373415,-0.000192825,-0.03383133,0.02347445,0.2749425,0.6484467,0.08918778,6.371323,3.72608,9.294213
"1#172",1,0.04804305,5.190333E-05,-0.03358029,0.0201908,0.3680761,0.6450815,0.08919702,6.040924,3.098994,9.236675
"1#173",1,-0.4360324,-0.0004978749,-0.005440428,0.02253681,0.3005891,0.6471826,0.08907761,5.818361,2.908739,9.416214
"1#174",1,-0.2949544,0.0001006482,-0.03608361,0.01880336,0.2024872,0.6491171,0.08885835,5.17498,3.74983,9.380546
"1#175",1,0.681635,0.0003105192,-0.01192261,0.01507041,0.1413386,0.6489998,0.08916067,4.406391,2.283457,9.383635
"1#176",1,0.1954198,0.0003328652,0.02586176,0.009066171,0.2146992,0.6489422,0.08740503,3.649992,2.613209,9.338791
"1#177",1,-0.1433207,0.0002645798,0.03340103,0.01035661,-0.1637831,0.6476792,0.08786338,2.678884,1.834735,9.341645
"1#178",1,0.2587683,-0.000491872,-0.0298882,0.006134546,0.2528259,0.6492255,0.08746324,2.090617,0.6679271,9.327698
"1#179",1,0.1552151,0.0001003627,-0.01778277,0.004502857,0.2080315,0.6505384,0.08719196,1.30547,0.2687509,9.343342
"1#180",1,0.3989668,0.000862635,0.03026176,-0.0001514504,0.07297784,0.6493526,0.08721597,0.5050665,-0.2807744,9.418338
"1#181",1,0.08764794,-0.0001603959,-0.01109064,0.0002584753,0.1532353,0.6492822,0.08796106,0.121841,-0.1143394,9.535659
"1#182",1,-0.4170918,0.0006105626,0.004331399,-0.001256482,-0.2020247,0.6517448,0.087482,-0.07249349,0.7726141,9.400385
"1#183",1,0.05420652,-0.0009638886,0.05218036,0.0005841385,-0.1227692,0.6514737,0.08669259,0.04185085,0.02819852,9.368518
"1#184",1,0.398965,-0.0002976166,-0.009929758,-0.001117378,0.01863017,0.6488242,0.08618915,0.02948718,0.4408564,9.359749
"1#185",1,-0.03882112,-0.0004158212,0.03707122,0.0002144348,0.06931774,0.6507596,0.08620459,0.1585658,-0.01406776,9.446698
"1#186",1,0.4594199,3.577417E-05,-0.02261932,0.0007845365,0.09152757,0.6491858,0.08585428,-0.07016013,-0.04326743,9.402894
"1#187",1,-0.7606058,-0.0001960831,0.01895218,-0.00201846,0.1358497,0.6514386,0.0847438,-0.2311705,0.1810276,9.425773
"1#188",1,-0.04813133,0.0002671588,-0.03312004,0.001677786,0.04122347,0.6473103,0.0854111,-0.1250606,0.2919948,9.496814
"1#189",1,-0.2964192,0.0003008582,-0.004096976,-0.0007223104,-0.2167578,0.6507069,0.08479274,-0.03080724,-0.04559289,9.388249
"1#190",1,0.004230681,-0.0007973389,-0.01169545,0.001622668,-0.1044475,0.6509016,0.08295769,0.0002279704,-0.09035229,9.439791
"1#191",1,-0.02321096,0.0005466767,0.01867735,-0.0003978814,0.1777343,0.6453209,0.08150872,0.03579296,-0.9518734,9.350385
"1#192",1,-0.07403447,-0.0001010995,-0.0557959,-0.001459573,-0.0707353,0.6460973,0.08159111,0.005033928,-0.1395785,9.519987
"1#193",1,-0.1125974,-0.0003780887,-0.02218919,-0.001360642,0.2400357,0.647924,0.08065382,-0.1693082,0.6331372,9.341269
"1#194",1,0.4561951,0.000112207,-0.02201117,-0.001528291,-0.180739,0.6494083,0.078109,-0.07027703,-0.07329243,9.367339
"1#195",1,0.2631316,0.0002639297,0.01946757,-0.0003274845,0.06767255,0.6505375,0.07821117,0.3682383,0.6584696,9.35627
"2#1",2,28.58212,0.0005047438,-0.02843243,0.0001799299,-0.05818064,0.0971038,0.006924217,1.214909,0.443696,-0.07173915
"2#2",2,28.61408,-0.0009895553,-0.02108081,-0.001273862,-0.2974173,0.100674,0.007164042,1.720397,1.141155,-0.02484966
"2#3",2,28.57813,0.0009304098,0.01053051,0.002,0.3684393,0.1024634,0.006297709,1.658107,1.009039,-0.003355198
"2#4",2,28.28884,2.424681E-05,0.01359422,0.0006052968,-0.08882794,0.1089392,0.007942913,1.835928,0.2856995,0.1135674
"2#5",2,28.75737,-0.0003174172,0.03577514,-0.001711884,0.192888,0.1062787,0.006545856,1.761752,-0.2874729,0.03257034
"2#6",2,28.86509,-0.0004079687,-0.002597635,-0.0006319637,-0.03982706,0.1199464,0.006576909,2.042127,1.54347,0.0004848971
"2#7",2,29.16975,0.0001980524,0.01477764,0.001290057,-0.1442928,0.1269235,0.007258211,2.005517,1.355647,0.03910681
"2#8",2,28.7459,0.0008838172,0.01714309,0.0005441643,-0.009855212,0.1298626,0.00673852,2.146369,0.980842,0.02985033
"2#9",2,29.26906,0.0008568506,-0.009087456,-0.000869413,0.06378678,0.1524751,0.006566276,2.496822,1.09962,-0.02028687
"2#10",2,29.07173,0.001210228,-0.01693143,0.0004385771,0.0905468,0.1759939,0.006111222,2.75213,0.9160478,0.01325858
"2#11",2,28.27198,0.001672921,-0.04871365,-0.001157518,0.04906768,0.1979517,0.006536232,3.428012,0.7893796,0.01209046
"2#12",2,28.21696,0.002623567,-0.01390348,0.0004077956,0.1250687,0.2231362,0.005933692,3.659065,1.925479,-0.03086373
"2#13",2,28.78141,0.001855419,0.008828368,-0.001128243,-0.08131225,0.2459985,0.006380704,4.120758,2.39698,-0.08036258
"2#14",2,28.42051,0.002998462,0.002544095,-0.001052519,0.1212462,0.2891254,0.005736254,4.774307,1.860359,0.01466089
"2#15",2,29.60836,0.004067283,-0.007010716,-0.001309714,-0.1199678,0.3242328,0.005341324,5.581303,2.049056,0.05694325
